Human gene	Ensembl ID	Protein domains	Contains canonical RBDs	Neuron enrichment (human)	Neuron enrichment (mouse)	Brain enrichment	Neuron developmental enrichment (early)	Neuron developmental enrichment (late)	pLI	Extreme pLI	High pLI	Medium pLI	Autism susceptibility	Intellectual disability susceptibility
AADACL2	ENSG00000197953	AB_hydrolase_3; Arylacetamide_deacetylase; AB_hydrolase; Lipase_GDXG_put_SER_AS	0	-0.320965284142147	0.016216478094382	-0.0408279899978961	-0.0284620504712684	-0.0769070168466188	1.0604e-08	0	0	0	0	0
AADACL3	ENSG00000188984	AB_hydrolase_3; Arylacetamide_deacetylase; AB_hydrolase	0	-0.320965284142147	0.00359688771647364	0	-0.0284620504712684	-0.0769070168466188	0.011889	0	0	0	0	0
AADACL4	ENSG00000204518	AB_hydrolase_3; Arylacetamide_deacetylase; AB_hydrolase	0	-0.320965284142147	-0.26384866756404	-0.0748376426969097	-0.0284620504712684	-0.0769070168466188	0.0001543	0	0	0	0	0
AADAT	ENSG00000109576	Aminotransferase_I/II; PyrdxlP-dep_Trfase_major; PyrdxlP-dep_Trfase	0	-0.290696999559694	0.205033575808067	0.216348160331544	-0.163798883	-0.538040246	0.14641	0	0	0	0	0
AAGAB	ENSG00000103591	Alpha/Gamma-adaptin-bd_p34	0	0.351566326107736	1.22693779969331	-0.423357864324136	0.16847224	-0.367963273	3.8664e-07	0	0	0	0	0
AAK1	ENSG00000115977	Prot_kinase_dom; Ser/Thr_kinase_AS; Kinase-like_dom_sf; BMP2K_C	0	0.893059763965429	1.71883524729814	0.146585880224347	0.108490882	0.785146124	1	1	0	0	0	0
AAMDC	ENSG00000087884	MTH938-like_sf; ; NDUFAF3/AAMDC; AAMDC	0	-1.52608696275342	-0.852220411863578	-1.59159969859378	0.551101218	-1.178318873	2.2702e-06	0	0	0	0	0
AAMP	ENSG00000127837	WD40_repeat; WD40/YVTN_repeat-like_dom_sf; WD40_repeat_CS; WD40_repeat_dom_sf; Quinoprotein_ADH-like_supfam; Apc4_WD40_dom	0	-0.320965284142147	0.518207418703428	-0.78195426120221	0.284984845	-0.071773433	0.76172	0	0	1	0	0
AANAT	ENSG00000129673	GNAT_dom; Acyl_CoA_acyltransferase	0	-0.320965284142147	0.382687408047635	0.203162358860423	-0.0284620504712684	-0.0769070168466188	0.002969	0	0	0	0	0
AAR2	ENSG00000131043	AAR2; Aar2_N; AAR2_C; AAR2_C_sf; AAR2_N_sf	0	-0.566728684125857	0.673893149086083	-1.50618850965898	-0.241996773	-0.316935514	8.3057e-06	0	0	0	0	0
AARD	ENSG00000205002		0	-0.320965284142147	0.948951513180094	0.256086785337462	-0.273035556	-0.319065602	0.3258	0	0	0	0	0
AARS1	ENSG00000090861	Ala-tRNA-lgiase_IIc; DHHA1_dom; Transl_B-barrel_sf; tRNA_SAD; Ala-tRNA-ligase_IIc_anticod-bd; Thr/Ala-tRNA-synth_IIc_edit; Ala-tRNA-synth_IIc_N; Ala-tRNA-synth_IIc_core; Ala_tRNA_ligase_euk/bac; aa-tRNA-synth_II/BPL/LPL	0	-0.320965284142147	-0.26384866756404	-0.255127599050345	-0.0284620504712684	-0.0769070168466188	NA	0	0	0	0	0
AARS2	ENSG00000124608	Ala-tRNA-lgiase_IIc; Transl_B-barrel_sf; tRNA_SAD; Ala-tRNA-ligase_IIc_anticod-bd; Thr/Ala-tRNA-synth_IIc_edit; Ala-tRNA-synth_IIc_N; Ala-tRNA-synth_IIc_core; Ala_tRNA_ligase_euk/bac; aa-tRNA-synth_II/BPL/LPL	0	0.512354995823854	0.695655130398612	-0.692604768345109	-0.070283669	-0.304411881	4.9777e-17	0	0	0	0	0
AARSD1	ENSG00000266967	Transl_B-barrel_sf; tRNA_SAD; Thr/Ala-tRNA-synth_IIc_edit; Ala-tRNA-synth_IIc_core	0	0.623933113607581	1.39032150965082	-0.37578356295943	-0.0284620504712684	-0.0769070168466188	4.0653e-09	0	0	0	0	0
AASDH	ENSG00000157426	AMP-dep_Synth/Lig_com; PP-bd_ACP; Quinoprotein_ADH-like_supfam; WD40/YVTN_repeat-like_dom_sf; AMP-binding_CS; ACP-like_sf; ANL_N_sf; AMP-bd_C_sf; PQQ_repeat; PQQ_beta_propeller_repeat	0	-0.431932470182146	-0.373452888109608	-0.882640169549955	-0.32570838	0.403292454	1.6629e-13	0	0	0	0	0
AASDHPPT	ENSG00000149313	4-PPantetheinyl_Trfase_dom; 4-PPantetheinyl_Trfase_dom_sf	0	0.827866286047098	0.313238494079633	1.06683298932917	-0.04521873	0.370821684	0.033866	0	0	0	0	0
AASS	ENSG00000008311	Sacchrp_dh_NADP; AlaDH/PNT_NAD(H)-bd; AlaDH/PNT_N; Sacchrp_dh-like_C; NAD(P)-bd_dom_sf	0	-4.74296397182939	-5.0329824507801	-1.80264832438959	-0.492997872	-0.618137147	2.3101e-12	0	0	0	0	1
AATK	ENSG00000181409	Prot_kinase_dom; Ser-Thr/Tyr_kinase_cat_dom; Tyr_kinase_AS; Kinase-like_dom_sf; Protein_kinase_ATP_BS; LMTK1_c	0	-1.23827942764614	0.00737736922646803	3.56744427759599	-0.010428758	-0.391709638	0.20634	0	0	0	0	0
ABAT	ENSG00000183044	4NH2But_aminotransferase_euk; Aminotrans_3; PyrdxlP-dep_Trfase_major; PyrdxlP-dep_Trfase_small; PyrdxlP-dep_Trfase	0	0.322189082275168	0.189955498918144	3.46270532009523	-0.019837253	0.521755405	0.0063216	0	0	0	1	1
ABCA1	ENSG00000165029	ABC_transporter-like_ATP-bd; AAA+_ATPase; ABC_transporter-like_CS; ABCA; P-loop_NTPase	0	-2.0736741853867	-4.51380925939712	-1.96437300536135	-0.314769813	-0.41374862	1.4525e-13	0	0	0	0	0
ABCA10	ENSG00000154263	ABC_transporter-like_ATP-bd; AAA+_ATPase; ABC_transporter-like_CS; ABCA; P-loop_NTPase	0	2.89529160695523	-0.26384866756404	-1.72740303550275	-0.370971943	-1.067147678	7.6593e-34	0	0	0	1	0
ABCA12	ENSG00000144452	ABC_transporter-like_ATP-bd; AAA+_ATPase; ABC_transporter-like_CS; ABCA; P-loop_NTPase	0	-0.320965284142147	1.33025581742033	0.0154759939533556	-0.267158208	0.550214951	2.922e-15	0	0	0	0	0
ABCA13	ENSG00000179869	ABC_transporter-like_ATP-bd; AAA+_ATPase; ABCA; P-loop_NTPase	0	-1.57066084273641	0.0182088639925721	-0.0205847672248669	0.052418341	0.555995899	8.7753e-114	0	0	0	1	0
ABCA2	ENSG00000107331	ABC_transporter-like_ATP-bd; AAA+_ATPase; ABC_transporter-like_CS; ABCA; P-loop_NTPase	0	-3.28852020229923	-0.604080545442063	2.29888465137804	0.011986763	0.940132366	1	1	0	0	0	1
ABCA3	ENSG00000167972	ABC_transporter-like_ATP-bd; AAA+_ATPase; ABC_transporter-like_CS; ABCA; P-loop_NTPase	0	0.376501377207894	0.275495794655328	1.6380093532429	-0.218715846	0.663884399	6.6226e-08	0	0	0	0	0
ABCA4	ENSG00000198691	ABC_transporter-like_ATP-bd; AAA+_ATPase; ABCA4/ABCR; ABC_transporter-like_CS; ABCA; P-loop_NTPase	0	-0.320965284142147	-2.30574409987174	-0.029957593716391	-0.345595538	-0.153978587	5.3499e-48	0	0	0	0	0
ABCA5	ENSG00000154265	ABC_transporter-like_ATP-bd; AAA+_ATPase; ABC_transporter-like_CS; ABCA; P-loop_NTPase	0	1.6879668383216	0.83439409306034	-1.19305380786226	-0.476189478	-0.11423019	4.7803e-27	0	0	0	0	0
ABCA6	ENSG00000154262	ABC_transporter-like_ATP-bd; AAA+_ATPase; ABCA; P-loop_NTPase	0	2.07076570812962	-1.1551500558537	-3.18533339943624	-0.0284620504712684	-0.0769070168466188	5.1099e-27	0	0	0	0	0
ABCA7	ENSG00000064687	ABC_transporter-like_ATP-bd; AAA+_ATPase; ABC_transporter-like_CS; ABCA; P-loop_NTPase; ; ATPase_AAA_core	0	0.799600004362281	-0.295470207779122	-0.390027689559272	-0.52006976	-0.263746945	2.1111e-55	0	0	0	1	0
ABCA8	ENSG00000141338	ABC_transporter-like_ATP-bd; AAA+_ATPase; ABCA; P-loop_NTPase; ABC_transporter-like_CS	0	-7.11781816368813	-0.26384866756404	-1.85295431055295	-0.0284620504712684	-0.0769070168466188	1.609e-52	0	0	0	0	0
ABCA9	ENSG00000154258	ABC_transporter-like_ATP-bd; AAA+_ATPase; ABCA; P-loop_NTPase	0	2.28308545628299	-5.17909785620867	-1.52308649206029	0.428518471	1.612374925	9.4911e-48	0	0	0	0	0
ABCB1	ENSG00000085563	ABC_transporter-like_ATP-bd; AAA+_ATPase; ABC1_TM_dom; ABC_transporter-like_CS; P-loop_NTPase; ABC1_TM_sf; Type_1_exporter	0	-2.47892662990022	-0.26384866756404	1.20191312697167	-0.215319303	-0.347917239	1.2564e-05	0	0	0	0	0
ABCB10	ENSG00000135776	ABC_transporter-like_ATP-bd; AAA+_ATPase; ABC1_TM_dom; ABC_transporter-like_CS; P-loop_NTPase; ABC1_TM_sf; Type_1_exporter	0	-0.320965284142147	0.00152299286644109	-1.06768572379123	-0.020805803	-0.195216073	2.9084e-08	0	0	0	0	0
ABCB11	ENSG00000073734	ABC_transporter-like_ATP-bd; P-loop_NTPase; Type_1_exporter; AAA+_ATPase; ABC1_TM_dom; ABC_transporter-like_CS; ABC1_TM_sf	0	-0.320965284142147	-0.135349027975767	-0.00929256689575137	-0.0284620504712684	-0.0769070168466188	1.5612e-12	0	0	0	0	1
ABCB4	ENSG00000005471	ABC_transporter-like_ATP-bd; AAA+_ATPase; ABC1_TM_dom; ABC_transporter-like_CS; P-loop_NTPase; ABC1_TM_sf; Type_1_exporter	0	-1.68143074988834	-1.28658779917183	-0.43821547940156	-0.0284620504712684	-0.0769070168466188	2.2138e-07	0	0	0	0	0
ABCB5	ENSG00000004846	ABC_transporter-like_ATP-bd; AAA+_ATPase; ABC1_TM_dom; ABC_transporter-like_CS; P-loop_NTPase; ABC1_TM_sf; Type_1_exporter	0	-0.320965284142147	-0.153368533658375	-0.0478673024872099	-0.235888176	0.377772641	1.5072e-37	0	0	0	0	0
ABCB6	ENSG00000115657	ABC_transporter-like_ATP-bd; AAA+_ATPase; ABC1_TM_dom; ABC_transporter-like_CS; P-loop_NTPase; MTABC_N; ABC1_TM_sf; Type_1_exporter	0	0.434029896377541	0.555239491605132	0.0639496894643603	0.631382479	-0.134557034	8.5999e-19	0	0	0	0	0
ABCB7	ENSG00000131269	ABC_transporter-like_ATP-bd; AAA+_ATPase; ABC1_TM_dom; ABC_transporter-like_CS; P-loop_NTPase; ABC1_TM_sf; Type_1_exporter	0	-0.697818911796984	0.238446286200619	-1.56108495615945	0.026731458	-0.681236761	0.99994	1	0	0	0	1
ABCB8	ENSG00000197150	ABC_transporter-like_ATP-bd; AAA+_ATPase; ABC1_TM_dom; ABC_transporter-like_CS; P-loop_NTPase; ABC1_TM_sf; Type_1_exporter	0	-0.320965284142147	-0.110043277770284	-0.172551181073696	-0.134473999	-0.813780563	1.9164e-15	0	0	0	0	0
ABCB9	ENSG00000150967	ABC_transporter-like_ATP-bd; ABC1_TM_dom; ABC_transporter-like_CS; P-loop_NTPase; ABCB9_6-TMD; ABC1_TM_sf; Type_1_exporter; AAA+_ATPase	0	0.851003464092573	-1.24049281759325	0.713667312649638	-0.15756151	0.869292594	0.00025164	0	0	0	0	0
ABCC1	ENSG00000103222	ABC_transporter-like_ATP-bd; AAA+_ATPase; Multidrug-R_assoc; ABC1_TM_dom; ABC_transporter-like_CS; P-loop_NTPase; ABC1_TM_sf	0	-0.320965284142147	-0.161053507928934	-2.34563216111147	-0.431938151	-0.24128218	0.0011727	0	0	0	0	0
ABCC10	ENSG00000124574	ABC_transporter-like_ATP-bd; ABC1_TM_dom; P-loop_NTPase; ABC1_TM_sf; AAA+_ATPase; ABC_transporter-like_CS	0	-0.320965284142147	-1.41506049250266	-0.98558435796835	-0.321102391	0.083799154	1.2887e-26	0	0	0	0	0
ABCC11	ENSG00000121270	ABC_transporter-like_ATP-bd; AAA+_ATPase; ABC1_TM_dom; ABC_transporter-like_CS; P-loop_NTPase; ABC1_TM_sf	0	-1.04444569697046	-0.26384866756404	0.352106371974215	-0.0284620504712684	-0.0769070168466188	3.9884e-46	0	0	0	0	0
ABCC12	ENSG00000140798	ABC_transporter-like_ATP-bd; AAA+_ATPase; ABC1_TM_dom; ABC_transporter-like_CS; P-loop_NTPase; ABC1_TM_sf	0	2.78887123960865	0.209905908804143	0.140464565531539	-0.0284620504712684	-0.0769070168466188	4.5659e-49	0	0	0	0	0
ABCC2	ENSG00000023839	ABC_transporter-like_ATP-bd; AAA+_ATPase; Multidrug-R_assoc; ABC1_TM_dom; ABC_transporter-like_CS; P-loop_NTPase; ABC1_TM_sf	0	-1.50296516169823	-0.223550491707637	-0.839225261399299	-0.0284620504712684	-0.0769070168466188	5.2025e-47	0	0	0	0	0
ABCC3	ENSG00000108846	ABC1_TM_dom; ABC1_TM_sf; ABC_transporter-like_ATP-bd; AAA+_ATPase; Multidrug-R_assoc; ABC_transporter-like_CS; P-loop_NTPase	0	0.614902397391072	-2.71892119936104	-3.10045304769411	-0.0284620504712684	-0.0769070168466188	1.2092e-26	0	0	0	0	0
ABCC4	ENSG00000125257	ABC_transporter-like_ATP-bd; AAA+_ATPase; ABC1_TM_dom; ABC_transporter-like_CS; P-loop_NTPase; ABCC4_TMD1; ABC1_TM_sf; ABCC4_TMD2	0	-3.61813628081573	-2.20104873145887	-1.05926436478589	-0.564141515	-1.88931245	1.0674e-07	0	0	0	0	0
ABCC5	ENSG00000114770	ABC_transporter-like_ATP-bd; AAA+_ATPase; ABC1_TM_dom; ABC_transporter-like_CS; P-loop_NTPase; ABC1_TM_sf	0	0.705732055733676	0.0751865967807204	-0.133746058514824	-0.574688193	0.345705582	0.0041518	0	0	0	0	0
ABCC6	ENSG00000091262	ABC_transporter-like_ATP-bd; AAA+_ATPase; Multidrug-R_assoc; ABC1_TM_dom; ABC_transporter-like_CS; P-loop_NTPase; ABC1_TM_sf	0	-0.710073662117103	-2.52795185888118	-0.385080806667088	-0.0284620504712684	-0.0769070168466188	5.6167e-35	0	0	0	0	1
ABCC8	ENSG00000006071	Sulphorea_rcpt; ABCC8; ABC_transporter-like_ATP-bd; AAA+_ATPase; ABC1_TM_dom; ABC_transporter-like_CS; P-loop_NTPase; ABC1_TM_sf	0	2.11634187748574	3.14054918288781	2.69935535510485	0.146347264	0.016957918	7.9571e-24	0	0	0	0	1
ABCC9	ENSG00000069431	Sulphorea_rcpt; ABCC9; ABC_transporter-like_ATP-bd; AAA+_ATPase; ABC1_TM_dom; ABC_transporter-like_CS; P-loop_NTPase; ABC1_TM_sf; ABCC9_ATP-bd_dom1	0	-0.786030454326671	-6.01524445561162	-1.43414897961716	-0.115715768	-1.498767483	9.3524e-09	0	0	0	0	1
ABCD1	ENSG00000101986	ABC_transporter-like_ATP-bd; AAA+_ATPase; FA_transporter; ABC1_TM_dom; ABC_transporter-like_CS; P-loop_NTPase; ABC1_TM_sf	0	-0.320965284142147	-1.45327569367964	-2.02302077261836	0.579681009	0.41257642	0.99896	1	0	0	0	1
ABCD2	ENSG00000173208	ABC_transporter-like_ATP-bd; AAA+_ATPase; ABC1_TM_dom; ABC_transporter-like_CS; P-loop_NTPase; ABC1_TM_sf	0	-0.320965284142147	-1.72414238680242	1.27551231389602	0.344385219	0.022595605	4.7079e-06	0	0	0	0	0
ABCD3	ENSG00000117528	ABC_transporter-like_ATP-bd; AAA+_ATPase; FA_transporter; ABC1_TM_dom; ABC_transporter-like_CS; P-loop_NTPase; ABC1_TM_sf	0	-1.03653806025665	-1.23512721048483	-0.710244870886139	-0.320298801	-0.643870796	0.0078364	0	0	0	0	0
ABCD4	ENSG00000119688	ABC_transporter-like_ATP-bd; AAA+_ATPase; ABC1_TM_dom; ABC_transporter-like_CS; P-loop_NTPase; ABC1_TM_sf	0	-0.637424207073916	-1.86082615439772	-0.762672500655002	-0.356024593	-0.565582658	1.3364e-12	0	0	0	0	1
ABCE1	ENSG00000164163	ABC_transporter-like_ATP-bd; RNaseL-inhib-like_metal-bd_dom; RLI1; 4Fe4S_Fe-S-bd; 4Fe4S_Fe_S_CS; P-loop_NTPase; ; AAA+_ATPase; ABC_transporter-like_CS; RLI_dom_1	0	-0.320965284142147	0.317634585791957	-0.939910502149467	0.120465886	-0.93401395	0.9738	0	1	0	0	0
ABCF2	ENSG00000033050	ABC_transporter-like_ATP-bd; AAA+_ATPase; ABC_transporter-like_CS; P-loop_NTPase; ABC_tran_Xtn	0	0.627530664835079	1.31683291087103	-0.664710878775252	0.14335178	0.052932528	0.011301	0	0	0	0	0
ABCF3	ENSG00000161204	ABC_transporter-like_ATP-bd; AAA+_ATPase; ABC_transporter-like_CS; P-loop_NTPase; ABC_tran_Xtn	0	0.445729379998118	0.544602927744691	-0.689199799665983	0.187223218	-0.477715114	1.5114e-05	0	0	0	0	0
ABCG1	ENSG00000160179	ABC_transporter-like_ATP-bd; AAA+_ATPase; Pigment_permease/Abcg; ABC_2_trans; ABC_transporter-like_CS; P-loop_NTPase; ABCG_dom	0	-1.86923174304551	0.542028856097164	-0.509635815659278	-0.644486531	0.496741907	0.11182	0	0	0	0	0
ABCG2	ENSG00000118777	ABC_transporter-like_ATP-bd; AAA+_ATPase; ABC_2_trans; P-loop_NTPase; ABCG_dom	0	-4.5257236549625	-3.62396504262014	1.95253421362843	-0.0284620504712684	-0.0769070168466188	2.0957e-32	0	0	0	0	0
ABCG4	ENSG00000172350	ABC_transporter-like_ATP-bd; AAA+_ATPase; ABC_2_trans; ABC_transporter-like_CS; P-loop_NTPase; ABCG_dom	0	2.48032041682628	1.78648599641862	2.1847102017845	-0.809164663	-0.417267182	3.8043e-07	0	0	0	0	0
ABCG5	ENSG00000138075	ABC_transporter-like_ATP-bd; AAA+_ATPase; ABC_2_trans; P-loop_NTPase; ABCG_dom	0	0.57434382284258	0.102762336159029	0.111036085599588	-0.0284620504712684	-0.0769070168466188	3.081e-21	0	0	0	0	1
ABCG8	ENSG00000143921	ABC_transporter-like_ATP-bd; ABC_transporter-like_CS; P-loop_NTPase; ABCG_dom; ABC_2_trans	0	1.65451881931131	0.0179142679292197	0.212215175558077	-0.0284620504712684	-0.0769070168466188	2.3838e-20	0	0	0	0	0
ABHD1	ENSG00000143994	ABHD4; Hydrolase_4; AB_hydrolase; AB_hydrolase_1; AB_hydrolase_4_CS	0	-0.320965284142147	-2.06841905207786	0.646887795527484	0.33993202	0.03354535	3.3799e-25	0	0	0	0	0
ABHD10	ENSG00000144827	AB_hydrolase_1; AB_hydrolase	0	0.390694892496355	-0.571665833980235	0.316390246315243	-0.089050699	0.504814572	1.2865e-05	0	0	0	0	0
ABHD11	ENSG00000106077	AB_hydrolase_1; AB_hydrolase	0	-0.540323395365743	-0.298434016746469	-0.40278258099208	0.318468841	-0.346557612	0.0029581	0	0	0	0	0
ABHD12	ENSG00000100997	Hydrolase_4; AB_hydrolase; AB_hydrolase_1	0	-0.868716647818792	1.23154546634207	0.868865719057704	0.104604236	-0.008906248	1.9476e-05	0	0	0	0	1
ABHD12B	ENSG00000131969	Hydrolase_4; AB_hydrolase	0	-0.320965284142147	0.184374321812516	1.15321570641823	-0.0284620504712684	-0.0769070168466188	3.7965e-15	0	0	0	0	0
ABHD13	ENSG00000139826	Hydrolase_4; AB_hydrolase	0	0.681364543025719	0.124888055787117	-1.01009735216765	0.054752371	-0.628304501	0.8946	0	0	1	0	0
ABHD14A	ENSG00000248487	AB_hydrolase_1; AB_hydrolase	0	1.41418581205448	0.539110182341709	1.06221124651752	0.189215915	0.513400011	6.4241e-06	0	0	0	0	0
ABHD14B	ENSG00000114779	AB_hydrolase_1; AB_hydrolase	0	-0.528808201336908	-3.15315542358645	-2.24546408053026	-0.033953981	-1.266093212	0.00014378	0	0	0	0	0
ABHD15	ENSG00000168792	AB_hydrolase	0	-0.320965284142147	-2.49728464887725	-1.53739362215589	-0.312051415	-1.193255513	3.5459e-08	0	0	0	0	0
ABHD16A	ENSG00000204427	AB_hydrolase_1; AB_hydrolase	0	0.254597481698747	0.248394607987652	-0.49770881418673	-0.111895786	-0.553191706	0.47336	0	0	0	0	1
ABHD16B	ENSG00000183260	AB_hydrolase_1; AB_hydrolase	0	-0.320965284142147	0.0257215006808266	-0.255127599050345	-0.0284620504712684	-0.0769070168466188	7.4371e-05	0	0	0	0	0
ABHD17A	ENSG00000129968	Hydrolase_4; AB_hydrolase	0	-1.13517664270167	0.793630556884169	0.701531786154042	-0.0284620504712684	-0.0769070168466188	0.018945	0	0	0	0	0
ABHD17B	ENSG00000107362	Peptidase_S9; AB_hydrolase	0	-1.49302741163467	-1.44272599381812	0.198410525434096	-0.0284620504712684	-0.0769070168466188	0.25442	0	0	0	0	0
ABHD17C	ENSG00000136379	AB_hydrolase; Hydrolase_4	0	0.425197420769075	-0.0117253032791016	1.03806538121367	-0.0284620504712684	-0.0769070168466188	0.95762	0	1	0	0	0
ABHD18	ENSG00000164074	ABHD18; AB_hydrolase	0	-0.320965284142147	-0.26384866756404	-0.922643562317593	-0.0284620504712684	-0.0769070168466188	NA	0	0	0	0	0
ABHD2	ENSG00000140526	AB_hydrolase_1; AB_hydrolase_4_CS; ABHD4; AB_hydrolase	0	-1.15814548430114	-0.790392754719089	-0.389576958740191	0.196892297	0.32950142	0.68151	0	0	1	0	0
ABHD3	ENSG00000158201	AB_hydrolase_1; AB_hydrolase_4_CS; ABHD4; AB_hydrolase	0	-1.33515347683404	-3.29682877378203	-0.827650671458187	-0.355119638	-0.936443438	1.6717e-09	0	0	0	0	0
ABHD4	ENSG00000100439	AB_hydrolase_1; AB_hydrolase	0	-0.320965284142147	-3.41479452989655	-1.49914825301671	0.196241487	-1.100385471	2.2197e-08	0	0	0	0	0
ABHD5	ENSG00000011198	AB_hydrolase_1; Peptidase_S33; AB_hydrolase	0	0.307644889936447	-1.68045973110943	-1.20525521999187	0.342520568	0.359450305	6.4201e-07	0	0	0	0	1
ABHD6	ENSG00000163686	AB_hydrolase_1; Epox_hydrolase-like; AB_hydrolase	0	-0.585840173509992	0.106282593461788	0.620603107581651	-0.419584666	0.817719884	2.2313e-05	0	0	0	0	0
ABHD8	ENSG00000127220	AB_hydrolase_1; Epox_hydrolase-like; AB_hydrolase	0	0.709181491946391	2.13911974679291	1.80096908294323	-0.272233646	0.371452713	0.97027	0	1	0	0	0
ABI1	ENSG00000136754	T_SNARE_dom; SH3_domain; Abl-interactor_HHR_dom; ABI; Abi1_SH3; SH3-like_dom_sf	0	-0.692511252954256	-0.493067900532292	-0.266356800719526	0.047007408	0.346937613	0.63911	0	0	1	0	0
ABI2	ENSG00000138443	T_SNARE_dom; SH3_domain; Abl-interactor_HHR_dom; ABI; Abi2_SH3; SH3-like_dom_sf	0	0.769507328304352	1.36918718135619	1.07394818944086	-0.15506359	0.172360347	0.43122	0	0	0	0	0
ABI3	ENSG00000108798	SH3_domain; Abl-interactor_HHR_dom; ABI3_SH3; ABI; SH3-like_dom_sf	0	-2.38131613448662	-4.2740865636827	-1.74280628471547	-0.0284620504712684	-0.0769070168466188	5.0089e-05	0	0	0	0	0
ABI3BP	ENSG00000154175	FN3_dom; Ig-like_fold; FN3_sf	0	0.27265768158469	2.19240179592482	-3.34338133901845	-0.0284620504712684	-0.0769070168466188	1.0074e-08	0	0	0	0	0
ABITRAM	ENSG00000119328	Single_hybrid_motif; GCV_H/Fam206; Abitram	0	-0.320965284142147	-0.26384866756404	-0.255127599050345	-0.0284620504712684	-0.0769070168466188	NA	0	0	0	0	0
ABL1	ENSG00000097007	Prot_kinase_dom; SH2; Ser-Thr/Tyr_kinase_cat_dom; SH3_domain; Tyr_kinase_AS; Kinase-like_dom_sf; F-actin-binding; Protein_kinase_ATP_BS; Tyr_kinase_cat_dom; ABL_SH2; SH3-like_dom_sf; SH2_dom_sf	0	-1.22056601958925	-1.27653820854048	-1.75911158572173	-0.140681937	-0.010191813	0.99998	1	0	0	0	0
ABL2	ENSG00000143322	Prot_kinase_dom; SH2; Ser-Thr/Tyr_kinase_cat_dom; SH3_domain; Tyr_kinase_AS; Kinase-like_dom_sf; F-actin-binding; Protein_kinase_ATP_BS; Tyr_kinase_cat_dom; ABL_SH2; SH3-like_dom_sf; SH2_dom_sf	0	-0.320965284142147	-0.285433709689075	-0.397426470947874	0.248998268	0.407628612	3.6365e-07	0	0	0	1	0
