Ensembl ID	Human gene	Mouse gene	Gene description	Protein domains	Contains canonical RBDs	Neuron enrichment (human)	Neuron enrichment (mouse)	Brain enrichment	Neuron developmental enrichment (early)	Neuron developmental enrichment (late)	Protein expression (caudate/cerebral cortex/hippocampus)	pLI	Extreme pLI	High pLI	Medium pLI	Autism susceptibility	Intellectual disability susceptibility
ENSG00000187837	HIST1H1C	NA	histone cluster 1, H1c	Histone_H1/H5_H15; H1/H5; WH-like_DNA-bd_sf; WH_DNA-bd_sf	0	-1.445207099	-0.00190286165509761	-2.011915659	-0.466459155	-1.752882176	High, High, High	0.0275	0	0	0	0	0
ENSG00000103067	ESRP2	Esrp2	epithelial splicing regulatory protein 2	RRM_dom; RNaseH-like_sf; Nucleotide-bd_a/b_plait_sf; ESRP2; RBD_domain_sf; RNaseH_sf;	1	-0.451964026	-0.229148278	-0.857195809	0.0549386088409786	-0.198750741739042	Low, Low, Low	2.33e-07	0	0	0	0	0
ENSG00000247315	ZCCHC3	Zcchc3	zinc finger, CCHC domain containing 3	Znf_CCHC; Znf_CCHC_sf; ZCCHC3	1	-0.49094834	-0.547431008	-0.50045491	-0.347913469	-0.12201654	NA	0.011938	0	0	0	0	0
ENSG00000096696	DSP	Dsp	desmoplakin	Plectin_repeat; SH3_domain; Spectrin/alpha-actinin; Desmoplakin; Plakin_repeat_sf; Desmoplakin_Spectrin-like; Desmoplakin_SH3; Plakin	0	-0.361013642	0.015929255	-2.375933502	0.034195012	-0.704239562	Not detected, Not detected, Not detected	0.99978	1	0	0	0	0
ENSG00000180228	PRKRA	Prkra	protein kinase, interferon-inducible double stranded RNA dependent activator	dsRBD_dom; Staufen_C; PRKRA	1	0.128297432	-0.493291528	-0.784584165	-0.248769065	-0.237885964	High, High, High	0.41653	0	0	0	0	1
ENSG00000082898	XPO1	Xpo1	exportin 1 (CRM1 homolog, yeast)	ARM-like; Exportin-1/Importin-b-like; XPO1_C_dom; ARM-type_fold; XPO1_repeat_3; CRM1_repeat; Exp1_repeat_2; ; Importin-beta_N	0	-0.42789279	-0.319191886	-0.664079961	-0.296732222	-0.60796101	Medium, Medium, Medium	1	1	0	0	1	0
ENSG00000088247	KHSRP	Khsrp	KH-type splicing regulatory protein	KH_dom; KH_dom_type_1; FUBP_C; KH_dom_type_1_sf; KH_sf_prok-type	1	-0.774688834	-0.056010519	-0.811613424	-0.337495611	-0.505361415	High, High, Low	1	1	0	0	0	0
ENSG00000137710	RDX	Rdx	radixin	FERM_domain; Ez/rad/moesin-like; Moesin_tail_sf; ERM; ERM_C_dom; PH-like_dom_sf; FERM/acyl-CoA-bd_prot_sf; FERM_N; FERM_PH-like_C; FERM_CS; FERM_central; Band_41_domain; Ubiquitin-like_domsf; FERM_2; ERM_FERM_C	0	-1.750367287	-0.899396077	-0.442421252	-0.029961968	-0.430353502	Low, Not detected, Not detected	0.85245	0	0	1	0	0
ENSG00000185163	DDX51	Ddx51	DEAD (Asp-Glu-Ala-Asp) box polypeptide 51	RNA-helicase_DEAD-box_CS; Helicase_C; DEAD/DEAH_box_helicase_dom; Helicase_ATP-bd; P-loop_NTPase	1	1.035983209	0.203260603	-0.510446443	-0.020687858	-0.326627954	NA	8.61e-12	0	0	0	0	0
ENSG00000233927	RPS28	Rps28	ribosomal protein S28	Ribosomal_S28e; NA-bd_OB-fold; Ribosomal_S28e_CS	0	0.344388305	0.098416735	-1.0582022	0.141554676	-0.019572958	High, High, High	0.68259	0	0	1	0	0
ENSG00000132819	RBM38	Rbm38	RNA binding motif protein 38	RRM_dom; Nucleotide-bd_a/b_plait_sf; RBD_domain_sf	1	-1.676364846	-0.415614561	-1.108460919	0.511493683	-0.148044598	Medium, High, Medium	0.71583	0	0	1	0	0
ENSG00000100029	PES1	Pes1	pescadillo ribosomal biogenesis factor 1	BRCT_dom; PES; BRCT_dom_sf	0	-0.627824726	0.237397289	-1.032735889	0.899625721	0.521865687	High, Medium, High	0.71904	0	0	1	0	0
ENSG00000122406	RPL5	Rpl5	ribosomal protein L5	Rbsml_L5_euk/L18_arc; Rbsml_L5e/L18P_C;	0	0.517243681	0.407073905	-1.955255797	0.163944038	-0.005859105	Medium, High, High	0.99776	1	0	0	0	0
ENSG00000063046	EIF4B	Eif4b	eukaryotic translation initiation factor 4B	RRM_dom; Nucleotide-bd_a/b_plait_sf; EIF-4B; RBD_domain_sf;	1	-0.242447353	0.312877489	-1.607957001	-0.136202048	0.100480363	Low, Low, Low	0.99999	1	0	0	0	0
ENSG00000082153	BZW1	Bzw1	basic leucine zipper and W2 domains 1	W2_domain; MIF4-like_sf; ARM-type_fold; W2_BZW1/2	0	-0.219374705105205	0.717617877	-1.012333182	0.354853161	-0.225678085	Low, Not detected, Medium	0.94418	0	1	0	0	0
ENSG00000128394	APOBEC3F	NA	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3F	CMP_dCMP_dom; APOBEC/CMP_deaminase_Zn-bd; Cytidine_deaminase-like	0	-1.051202429	-0.00190286165509761	-1.279006421	-0.092345338	-0.325622696	NA	1.35e-07	0	0	0	0	0
ENSG00000108848	LUC7L3	Luc7l3	LUC7-like 3 (S. cerevisiae)	Luc7-rel;	0	-0.186455124	-0.249151679	-0.672909323	-0.373743165	0.083802954	High, High, High	0.99999	1	0	0	0	0
ENSG00000029363	BCLAF1	Bclaf1	BCL2-associated transcription factor 1	Bcl-2_assoc_TF1; THRAP3_BCLAF1; Btz_dom	0	0.197506621	-0.053108524	-1.036854403	-0.219383696	0.13609895	High, High, High	2.06e-14	0	0	0	0	0
ENSG00000124214	STAU1	Stau1	staufen, RNA binding protein, homolog 1 (Drosophila)	dsRBD_dom; Staufen_C	1	-0.176252647	0.071019615	-0.823629278	-0.13136825	0.260416436	Medium, Medium, Medium	0.99976	1	0	0	0	0
ENSG00000124201	ZNFX1	Znfx1	zinc finger, NFX1-type containing 1	ARM-type_fold; P-loop_NTPase; DNA2/NAM7_AAA_11; Znf_NFX1; DNA2/NAM7-like_AAA	0	-0.507272973	0.031492054	-1.266773066	0.168761618	0.10334752	Medium, Low, Medium	0.99983	1	0	0	0	0
ENSG00000168488	ATXN2L	Atxn2l	ataxin 2-like	LsmAD_domain; Ataxin-2_C; SM_dom_ATX	0	-0.366521825	0.044607766	-1.418031389	-0.06189987	-0.662417129	Not detected, Not detected, Not detected	1	1	0	0	0	1
ENSG00000116299	KIAA1324	NA	KIAA1324	EIG121-like; Growth_fac_rcpt_cys_sf; Tyr-kin_ephrin_A/B_rcpt-like; Man6P_isomerase_rcpt-bd_dom_sf	0	2.57976573	-0.00190286165509761	1.121913362	0.022721204	1.000411511	Medium, Medium, Medium	7.03e-13	0	0	0	0	0
ENSG00000196361	ELAVL3	Elavl3	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 3 (Hu antigen C)	RRM_dom; Hud_Sxl_RNA; RRM_dom_euk; ELAD_HU_SF; Nucleotide-bd_a/b_plait_sf; ELAV/Hu_RRM1; HuC_RRM3; RBD_domain_sf	1	-0.219374705105205	1.083962628	5.737675151	0.153430025	1.44092559	Medium, High, High	0.77072	0	0	1	1	0
ENSG00000184967	NOC4L	Noc4l	nucleolar complex associated 4 homolog (S. cerevisiae)	CCAAT-binding_factor; ARM-type_fold; Noc4	0	0.190069544	0.577803405	-1.085858424	-0.010133195	-0.054116519	NA	0.0010792	0	0	0	0	0
ENSG00000124541	RRP36	Rrp36	ribosomal RNA processing 36 homolog (S. cerevisiae)	RRP36	0	-0.259860854	-0.266821581	-1.025998875	0.076522814	-0.406076296	Medium, Medium, Medium	7.93e-14	0	0	0	0	0
ENSG00000173230	GOLGB1	Golgb1	golgin B1	Leu_zip_homeo; GOLGB1;	0	0.157224956	-0.185290334	-1.398167468	-0.036356541	0.385388217	Medium, High, Medium	9.3e-12	0	0	0	0	0
ENSG00000244509	APOBEC3C	NA	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3C	CMP_dCMP_dom; APOBEC/CMP_deaminase_Zn-bd; Cytidine_deaminase-like	0	-1.188064645	-0.00190286165509761	-3.309327031	0.063633046	-0.975449184	Not detected, Not detected, Not detected	0.026691	0	0	0	0	0
ENSG00000205531	NAP1L4	Nap1l4	nucleosome assembly protein 1-like 4	NAP_family; NAP-like_sf;	0	-1.097664354	0.164673415	0.135019919	0.336762251	0.424574903	Low, Low, Medium	0.77147	0	0	1	0	0
ENSG00000099995	SF3A1	Sf3a1	splicing factor 3a, subunit 1, 120kDa	Surp; Ubiquitin-like_dom; SF3A1; Ubiquitin-like_domsf; SWAP/Surp_sf;	0	-0.219374705105205	-0.017979859	-1.356547531	-0.083589632	-0.390209964	High, High, Medium	0.98752	0	1	0	0	0
ENSG00000111732	AICDA	Aicda	activation-induced cytidine deaminase	CMP_dCMP_dom; APOBEC/CMP_deaminase_Zn-bd; Cytidine_deaminase-like;	0	-0.219374705105205	0.050358478	-0.059784769	0.0549386088409786	-0.198750741739042	NA	9.21e-06	0	0	0	0	0
ENSG00000151846	PABPC3	NA	poly(A) binding protein, cytoplasmic 3	RRM_dom; PABP_HYD; RRM_dom_euk; PABP_1234; Nucleotide-bd_a/b_plait_sf; RBD_domain_sf; PABP-dom	1	-0.7946893	-0.00190286165509761	-0.026139566	0.0549386088409786	-0.198750741739042	Low, Low, Low	8.44e-15	0	0	0	0	0
ENSG00000085872	CHERP	Cherp	calcium homeostasis endoplasmic reticulum protein	Surp; G_patch_dom; CID_dom; ENTH_VHS; SWAP/Surp_sf; CHERP	1	-0.370347381	-0.181998986	-1.245055301	-0.0997279	0.120461817	High, High, High	1	1	0	0	0	0
ENSG00000162244	RPL29	NA	ribosomal protein L29	Ribosomal_L29e;	0	-0.219374705105205	-0.00190286165509761	-1.722209102	0.375812951	0.07250117	Not detected, High, Medium	0.19534	0	0	0	0	0
ENSG00000021776	AQR	Aqr	aquarius homolog (mouse)	CWF11_fam; P-loop_NTPase; Aquarius_N; DNA2/NAM7_AAA_11; DNA2/NAM7-like_AAA;	0	-0.380038328	-0.340872917	-1.099202381	0.157686284	-0.249149701	NA	1	1	0	0	0	0
ENSG00000163312	HELQ	Helq	helicase, POLQ-like	Helicase_C; DEAD/DEAH_box_helicase_dom; Helicase_ATP-bd; P-loop_NTPase; WH_DNA-bd_sf	1	-0.484074374	0.085096003	-1.26836339	0.13015603	0.329747989	Not detected, Low, Low	6.49e-12	0	0	0	0	0
ENSG00000106803	SEC61B	Sec61b	Sec61 beta subunit	SecG/Sec61-beta/Sbh; Sec61-beta/Sbh	0	-0.391572824	-0.350597633	-1.350954554	0.451766412	-0.21147669	Medium, Medium, High	0.02003	0	0	0	0	0
ENSG00000004700	RECQL	Recql	RecQ protein-like (DNA helicase Q1- like)	Helicase_C; DNA_helicase_ATP-dep_RecQ; DEAD/DEAH_box_helicase_dom; Helicase_ATP-bd; P-loop_NTPase; RecQ_Zn-bd; WH-like_DNA-bd_sf	1	-0.224955256	-0.038721878	-1.959760588	0.680927975	-0.070621983	Medium, Medium, Low	1.53e-20	0	0	0	0	0
ENSG00000115761	NOL10	Nol10	nucleolar protein 10	NUC153; WD40_repeat_dom_sf; NOL10/Enp2; WD40_repeat; WD40/YVTN_repeat-like_dom_sf	0	0.296394706	0.049632728	-1.15093726	-0.248024768	-0.899342878	Not detected, Low, Not detected	0.050667	0	0	0	0	0
ENSG00000066044	ELAVL1	Elavl1	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R)	RRM_dom; Hud_Sxl_RNA; ELAD_HU_SF; Nucleotide-bd_a/b_plait_sf; ELAV/Hu_RRM1; HuR_RRM2; RBD_domain_sf	1	-0.643719767	-0.529790117	-0.990083742	-0.07972396	-0.678802074	Medium, Medium, Medium	0.98849	0	1	0	0	0
ENSG00000244395	RBMY1D	NA	RNA binding motif protein, Y-linked, family 1, member D	RRM_dom; RBM1CTR; Nucleotide-bd_a/b_plait_sf; RBD_domain_sf	1	-0.219374705105205	-0.00190286165509761	0	0.0549386088409786	-0.198750741739042	Not detected, Not detected, Not detected	0.480746042349629	0	0	0	0	0
ENSG00000108654	DDX5	Ddx5	DEAD (Asp-Glu-Ala-Asp) box helicase 5	RNA-helicase_DEAD-box_CS; Helicase_C; DEAD/DEAH_box_helicase_dom; P68_rpt; Helicase_ATP-bd; RNA_helicase_DEAD_Q_motif; P-loop_NTPase;	1	-0.589459592	-0.669885646	-1.826528464	-0.165974654	0.309924781	High, High, High	0.99998	1	0	0	0	0
ENSG00000103994	ZFP106	NA	zinc finger protein 106 homolog (mouse)	WD40_repeat; Znf_C2H2_type; WD40/YVTN_repeat-like_dom_sf; WD40_repeat_dom; WD40_repeat_dom_sf; Znf106; Znf_C2H2_sf	0	-0.219374705105205	-0.00190286165509761	-0.798554224744701	-0.009640149	0.396467143	Not detected, Not detected, Not detected	0.480746042349629	0	0	0	0	0
ENSG00000139168	ZCRB1	Zcrb1	zinc finger CCHC-type and RNA binding motif 1	RRM_dom; Znf_CCHC; RRM_dom_euk; Nucleotide-bd_a/b_plait_sf; ZCRB1_RRM; RBD_domain_sf; Znf_CCHC_sf	1	0.203753941	0.585077331	0.318270687	0.213641889	0.027234108	NA	0.0035488	0	0	0	0	0
ENSG00000085760	MTIF2	Mtif2	mitochondrial translational initiation factor 2	TF_IF2_bacterial-like; TF_GTP-bd_dom; Small_GTP-bd_dom; Transl_B-barrel_sf; TIF_IF2; TIF_IF2_dom3; P-loop_NTPase; TIF_IF2_dom3_sf	0	-0.472335742	-0.391426213	-0.694438886	0.145633185	-0.946404869	Not detected, Low, Not detected	3.75e-10	0	0	0	0	0
ENSG00000103353	UBFD1	Ubfd1	ubiquitin family domain containing 1	Ubiquitin-like_dom; Ubiquitin_CS; Ubiquitin-like_domsf; UBFD1	0	0.510881236	0.458778504	-0.374808485	0.091069319	-0.137681331	NA	0.94238	0	1	0	0	0
ENSG00000124279	FASTKD3	Fastkd3	FAST kinase domains 3	FAST_Leu-rich; FAST_2; RAP	0	0.131634434	0.543463381	-0.603728201	-0.131875482	-0.379713384	Not detected, Low, Low	5.86e-10	0	0	0	0	0
ENSG00000107201	DDX58	Ddx58	DEAD (Asp-Glu-Ala-Asp) box polypeptide 58	Helicase_C; DEAD/DEAH_box_helicase_dom; Helicase_ATP-bd; RLR_CTR; P-loop_NTPase; RLR_C_sf; RIG-I_C; CARD_dom; CARD_RIG-I_r2	1	-1.434422131	-2.321725386	-1.358468127	0.045555935	-0.811731264	Not detected, Low, Not detected	1.76e-23	0	0	0	0	1
ENSG00000164113	ADAD1	Adad1	adenosine deaminase domain containing 1 (testis-specific)	dsRBD_dom; A_deamin	1	-0.398758773	0.090875575	0	0.0549386088409786	-0.198750741739042	NA	0.038952	0	0	0	0	0
ENSG00000156482	RPL30	Rpl30	ribosomal protein L30	Ribosomal_L30e; Ribosomal_L7Ae/L30e/S12e/Gad45; Ribosomal_L30e_CS; L30e-like; L30/L30e/YlxQ;	0	-0.219374705105205	0.028324617	-1.56135764	0.134817656	0.009697828	Medium, Medium, High	0.84674	0	0	1	0	0
ENSG00000198015	MRPL42	Mrpl42	mitochondrial ribosomal protein L42	MRPL42;	0	-0.213660458	0.327939083	-0.431682344	0.196423422	0.079203595	Medium, Medium, Medium	0.039597	0	0	0	0	0
ENSG00000166181	API5	Api5	apoptosis inhibitor 5	API5; ARM-type_fold	0	-0.219374705105205	-0.016129103	-0.757568956	0.113799566	-0.177183816	Not detected, Not detected, Not detected	0.99996	1	0	0	0	0
ENSG00000149532	CPSF7	Cpsf7	cleavage and polyadenylation specific factor 7, 59kDa	RRM_dom; Nucleotide-bd_a/b_plait_sf; CPSF7; CPSF6/7; CPSF7_RRM; RBD_domain_sf;	1	-1.04747193	-0.114649594	-1.134077497	-0.530804048	-0.515984607	High, High, High	0.99873	1	0	0	0	0
ENSG00000125944	HNRNPR	Hnrnpr	heterogeneous nuclear ribonucleoprotein R	RRM_dom; HnRNP_R/Q_splicing_fac; Nucleotide-bd_a/b_plait_sf; hnRNPR_RRM2; RBD_domain_sf; hnRNP_Q_AcD; hnRNPR_RRM1	1	-0.400759327	0.105736021	-0.726988027	-0.147275099	-0.388726195	High, High, Medium	0.99935	1	0	0	1	1
ENSG00000160214	RRP1	NA	ribosomal RNA processing 1 homolog (S. cerevisiae)	Nop52	0	-0.22878605	-0.00190286165509761	-0.450467062	-0.001593331	0.171276826	High, High, High	7.49e-05	0	0	0	0	0
ENSG00000188643	S100A16	S100a16	S100 calcium binding protein A16	S100/CaBP-9k_CS; EF_hand_dom; EF-hand-dom_pair; S100_Ca-bd_sub; EF_Hand_1_Ca_BS	0	-3.687632725	-5.252136214	-1.154423806	1.501936141	0.538262904	Not detected, Not detected, Not detected	0.0010573	0	0	0	0	0
ENSG00000100697	DICER1	Dicer1	dicer 1, ribonuclease type III	RNase_III_dom; Helicase_C; PAZ_dom; Dicer_dimerisation_dom; Helicase/UvrB_N; Helicase_ATP-bd; dsRBD_dom; P-loop_NTPase; PAZ_dom_sf; RNase_III_sf; Dicer_dimer_sf;	1	-1.108712681	-0.008476598	-1.235030755	-0.407996906	0.201140408	Medium, Medium, Medium	1	1	0	0	0	0
ENSG00000147274	RBMX	Rbmx	RNA binding motif protein, X-linked	RRM_dom; Nucleotide-bd_a/b_plait_sf; RBD_domain_sf; ; RRM_dom_euk; RBM1CTR	1	-1.166076332	-0.689407773	-1.484658233	-0.215924785	-0.525860827	High, High, High	0.82878	0	0	1	0	0
ENSG00000119616	FCF1	Fcf1	FCF1 small subunit (SSU) processome component homolog (S. cerevisiae)	Fcf1/Utp23; PIN-like_dom_sf; PIN_dom;	0	-0.219374705105205	-0.400353314	-1.107292081	0.173551135	-0.148771251	Medium, High, Medium	0.024364	0	0	0	0	0
ENSG00000188739	RBM34	Rbm34	RNA binding motif protein 34	RRM_dom; Nucleotide-bd_a/b_plait_sf; RBM34_RRM1; RBM34_RRM2; RBD_domain_sf	1	-0.415076804	0.232550559	0.395680125	0.217362476	0.339274161	Medium, Medium, High	4.64e-15	0	0	0	0	0
ENSG00000055950	MRPL43	Mrpl43	mitochondrial ribosomal protein L43	Ribosome/NADH_DH; Thioredoxin-like_sf; MRPL43/MRPL51	0	-0.826267732	0.498488576	-0.754674747	-0.061464227	-0.060924015	NA	1.89e-07	0	0	0	0	0
ENSG00000084072	PPIE	Ppie	peptidylprolyl isomerase E (cyclophilin E)	RRM_dom; Cyclophilin-type_PPIase_dom; Nucleotide-bd_a/b_plait_sf; PPIE; Cyclophilin-type_PPIase_CS; Cyclophilin-like_dom_sf; PPIE_RRM; RBD_domain_sf	1	-0.499243378	-0.453866757	-0.904262003	0.305570708	-0.5636563	Medium, High, High	0.72832	0	0	1	0	0
ENSG00000182810	DDX28	Ddx28	DEAD (Asp-Glu-Ala-Asp) box polypeptide 28	Helicase_C; DEAD/DEAH_box_helicase_dom; Helicase_ATP-bd; RNA_helicase_DEAD_Q_motif; P-loop_NTPase	1	-0.101898074	0.22975224	-0.608274123	-0.420074529	-0.748191464	Low, Low, Low	1.33e-08	0	0	0	0	0
ENSG00000106682	EIF4H	Eif4h	eukaryotic translation initiation factor 4H	RRM_dom; Nucleotide-bd_a/b_plait_sf; eIF4H_RRM; RBD_domain_sf	1	-0.409518988	0.52008843	-0.782036827	0.113943599	-0.376983833	Medium, High, Medium	0.43982	0	0	0	0	0
ENSG00000197181	PIWIL2	Piwil2	piwi-like 2 (Drosophila)	PAZ_dom; Piwi; RNaseH-like_sf; ArgoL1; PAZ_dom_sf; RNaseH_sf	1	-1.013130969	-0.060746291	-0.450676874	0.0549386088409786	-0.198750741739042	NA	2.71e-08	0	0	0	0	0
ENSG00000163161	ERCC3	Ercc3	excision repair cross-complementing rodent repair deficiency, complementation group 3	XPB/Ssl2; Helicase_C; Helicase/UvrB_N; Helicase_ATP-bd; P-loop_NTPase; ERCC3_RAD25_C; XPB/Ssl2_N	0	-0.42098936	-0.360021332	-0.82189393	0.013205906	-0.019366365	High, High, High	3.43e-11	0	0	0	0	1
ENSG00000198755	RPL10A	Rpl10a	ribosomal protein L10a	Ribosomal_L1; Ribosomal_L1_3-a/b-sand; Ribosomal_L1_CS; Ribosomal_L1-like; Ribosomal_L1/biogenesis	0	0.503534508	0.167225348	-1.955814846	0.092646934	-0.687073028	Medium, Medium, Medium	0.85357	0	0	1	0	0
ENSG00000131503	ANKHD1	Ankhd1	ankyrin repeat and KH domain containing 1	Ankyrin_rpt; Ankyrin_rpt-contain_dom; Ankyrin_rpt-contain_sf; KH_dom; KH_dom_type_1; KH_dom_type_1_sf	1	-0.449082702	-0.513777099	-1.78935167	-0.295800427	-0.450248689	Medium, High, Low	1	1	0	0	0	0
ENSG00000100227	POLDIP3	Poldip3	polymerase (DNA-directed), delta interacting protein 3	RRM_dom; Nucleotide-bd_a/b_plait_sf; PDIP3_RRM; RBD_domain_sf	1	-0.952951619	0.217899905	-0.993453217	0.353116555	0.262342016	Not detected, Not detected, Not detected	0.11779	0	0	0	0	0
ENSG00000025796	SEC63	Sec63	SEC63 homolog (S. cerevisiae)	DnaJ_domain; Sec63-dom; Ig_E-set; Sec63; C2_domain_sf; J_dom_sf	0	-0.288371754	-0.232411217	-1.048522798	0.113114306	0.123401243	Medium, Medium, Medium	2.08e-07	0	0	0	0	0
ENSG00000074800	ENO1	Eno1	enolase 1, (alpha)	Enolase; Enolase_CS; Enolase_C; Enolase_N; Enolase-like_N; Enolase-like_C_sf;	0	-0.374961014	0.522400189	-0.081129281	0.78729847	-0.740367073	Low, Low, Low	1.91e-05	0	0	0	0	0
ENSG00000138095	LRPPRC	Lrpprc	leucine-rich pentatricopeptide repeat containing	Pentatricopeptide_repeat; TPR-like_helical_dom_sf; PPR_long; LRP130	0	0.184953153	0.547641338	-0.565033819	0.293948352	-0.067883135	Medium, High, High	2.3e-10	0	0	0	0	1
ENSG00000136527	TRA2B	Tra2b	transformer 2 beta homolog (Drosophila)	RRM_dom; Nucleotide-bd_a/b_plait_sf; RBD_domain_sf;	1	-0.42617054	-0.549621689	-1.204628684	0.002205536	-0.392426995	High, High, High	0.99312	1	0	0	0	0
ENSG00000168334	XIRP1	Xirp1	xin actin-binding repeat containing 1	Actin-binding_Xin_repeat; XIRP1/XIRP2	0	-0.219374705105205	-1.418260305	-0.023832061	0.0549386088409786	-0.198750741739042	Not detected, Not detected, Not detected	2.27e-30	0	0	0	0	0
ENSG00000187790	FANCM	Fancm	Fanconi anemia, complementation group M	Helicase_C; Helicase/UvrB_N; Helicase_ATP-bd; P-loop_NTPase; ERCC4_domain; RuvA_2-like; Restrct_endonuc-II-like; FANCM-MHF-bd; DEAD/DEAH_box_helicase_dom;	1	-0.219374705105205	0.252230846	-0.580990021	-0.063002865	0.109873522	NA	2.35e-15	0	0	0	0	0
ENSG00000108349	CASC3	Casc3	cancer susceptibility candidate 3	Btz_dom; CASC3	0	-0.441316193	-0.142581977	-0.67224411	-0.116900551	-0.030349326	Medium, Medium, Medium	0.61338	0	0	1	0	0
ENSG00000154556	SORBS2	Sorbs2	sorbin and SH3 domain containing 2	SH3_domain; SH3-like_dom_sf; SoHo_dom; Znf_C2H2_type; Sorbin_SH3;	0	2.478770909	0.04635137	-0.742458126	-0.42343857	-0.510973933	NA	0.035916	0	0	0	0	0
ENSG00000185946	RNPC3	Rnpc3	RNA-binding region (RNP1, RRM) containing 3	RRM_dom; Nucleotide-bd_a/b_plait_sf; RBM40_RRM1; RBD_domain_sf;	1	-0.219374705105205	-0.664303615	-1.278062488	0.284825925	0.158341302	NA	0.00019596	0	0	0	0	1
ENSG00000105321	CCDC9	Ccdc9	coiled-coil domain containing 9	DUF4594	0	-0.219374705105205	0.6406622	-1.829353681	0.114890367	0.289627166	Low, Medium, Low	2.9e-05	0	0	0	0	0
